tconst,title,year,ordering,Actor,Category,Job
tt4110568,Dil Dhadakne Do,2015,6,Reema Kagti,writer,story and screenplay
tt6173990,GOLD,2018,5,Reema Kagti,director,\N
tt8562960,Shaheed Chandrashekhar Azaad,2020,3,Anil Nagrath,actor,\N
tt2395469,Gully Boy,2019,10,Ritesh Sidhwani,producer,producer
tt4110568,Dil Dhadakne Do,2015,9,Ritesh Sidhwani,producer,producer
tt6173990,GOLD,2018,9,Ritesh Sidhwani,producer,producer
tt6712014,Fukrey Returns,2017,8,Ritesh Sidhwani,producer,producer
tt9248972,Mission Mangal,2019,7,Saketh Kondiparthi,writer,Writer
tt8108274,Tanhaji: The Unsung Warrior,2020,8,Krishan Kumar,producer,producer
tt11743900,Cookie,2020,9,Somraj Ganguli,composer,\N
tt11743900,Cookie,2020,8,Tuhin Chongder,composer,\N
tt9691324,Sab Kushal Mangal,2020,2,Priyaank Sharma,actor,\N
tt9691324,Sab Kushal Mangal,2020,3,Riva Kishan,actress,\N
tt6903440,Manikarnika: The Queen of Jhansi,2019,8,Himanshu Tripathi,writer,associate writer
tt5764096,Hindi Medium,2017,5,Saket Chaudhary,director,\N
tt5080556,2.0,2018,8,Abbas Tyrewala,writer,hindi dialogue
tt7430722,War,2019,8,Abbas Tyrewala,writer,dialogue
tt8907986,Angrezi Medium,2020,8,Vinay Chhawal,writer,\N
tt9691324,Sab Kushal Mangal,2020,5,Karan Vishwanath Kashyap,director,\N
tt3696192,Singh Is Bliing,2015,3,Lara Dutta,actress,\N
tt4906984,Azhar,2016,4,Lara Dutta,actress,\N
tt10930586,Shikara,2020,1,Sadia Khateeb,actress,\N
tt11743900,Cookie,2020,2,Rajeev Gupta,actor,\N
tt8130968,Badla,2019,6,Oriol Paulo,writer,based on a screenplay by
tt8983202,Kabir Singh,2019,4,Soham Majumdar,actor,\N
tt10324144,Article 15,2019,9,Piyush Shankar,composer,music director
tt6580564,102 Not Out,2018,5,Umesh Shukla,director,\N
tt11027850,Hacked,2020,10,Jatin Sethi,producer,producer
tt9248940,Dream Girl,2019,6,Nirmaan Dsingh,writer,Story and Screenplay
tt6836936,Saaho,2019,6,K.G.R Ashok,writer,tamil dialogue
tt11743900,Cookie,2020,7,Smita Tripathi,producer,producer
tt10875678,Happy Hardy and Heer,2020,3,Kavita Kumari,self,\N
tt10930586,Shikara,2020,7,Rahul Pandita,writer,Writer
tt9680136,Pati Patni Aur Woh,2019,7,Ravi Kumar,writer,associate writer
tt7059844,Dabangg 3,2019,4,Saiee Manjrekar,actress,\N
tt11509538,Haunted Hills,2020,1,Sharan Anandani,actor,\N
tt4559046,Housefull 3,2016,7,K. Subhash,writer,story
tt8983202,Kabir Singh,2019,9,Naman Chouhan,producer,producer
tt9420648,Bala,2019,9,Naman Chouhan,producer,producer
tt10324144,Article 15,2019,4,Kumud Mishra,actor,\N
tt10964430,Thappad,2020,3,Kumud Mishra,actor,\N
tt4387040,Airlift,2016,3,Kumud Mishra,actor,\N
tt9248952,Jawaani Jaaneman,2020,4,Kumud Mishra,actor,\N
tt11509538,Haunted Hills,2020,5,Sanjeev Kumar Rajput,director,\N
tt11509538,Haunted Hills,2020,7,Ravi Kant Dixit,producer,producer
tt5460276,Kaabil,2017,4,Rohit Roy,actor,\N
tt2395469,Gully Boy,2019,9,Sandeep Sharma,producer,producer
tt9248972,Mission Mangal,2019,10,Sandeep Sharma,producer,producer
tt11509538,Haunted Hills,2020,4,Nitin Dixit,actor,\N
tt11509538,Haunted Hills,2020,9,Shashi Kant Dixit,producer,producer
tt11509538,Haunted Hills,2020,8,Shailendra Dixit,producer,producer
tt11509538,Haunted Hills,2020,6,Banwari Lal Dixit,producer,producer
tt11573410,Guns of Banaras,2020,6,Ashok Munshi,producer,producer
tt7098658,Raazi,2018,5,Meghna Gulzar,director,\N
tt9614460,Chhapaak,2020,5,Meghna Gulzar,director,\N
tt10023024,Love Aaj Kal,2020,4,Arushi Sharma,actress,\N
tt9614460,Chhapaak,2020,7,Govind Singh Sandhu,producer,producer
tt11231440,Doordarshan,2020,6,Ritu Arya,producer,producer
tt11509538,Haunted Hills,2020,10,Santosh Pal,cinematographer,\N
tt11231440,Doordarshan,2020,10,Gautam Naresh,production_designer,\N
tt9766280,Bhangra Paa Le,2020,2,Rukshar Dhillon,actress,\N
tt4559006,Ae Dil Hai Mushkil,2016,6,Niranjan Iyengar,writer,dialogue
tt6903440,Manikarnika: The Queen of Jhansi,2019,7,Prasoon Joshi,writer,dialogue
tt3679000,Any Body Can Dance 2,2015,5,Remo D'Souza,director,\N
tt5235880,A Flying Jatt,2016,5,Remo D'Souza,director,\N
tt7431594,Race 3,2018,5,Remo D'Souza,director,\N
tt9648672,Street Dancer 3D,2020,5,Remo D'Souza,director,\N
tt5456546,Twins 2,2017,10,Sajid Ali,composer,\N
tt5156746,Force 2,2016,8,Vipul Amrutlal Shah,producer,producer
tt8366590,Baaghi 3,2020,4,Bhawani Singh Rathore,actor,\N
tt7255568,Student of the Year 2,2019,5,Punit Malhotra,director,\N
tt3735246,Bajirao Mastani,2015,7,Prakash Kapadia,writer,written by
tt5935704,Padmaavat,2017,6,Prakash Kapadia,writer,screenplay
tt8108274,Tanhaji: The Unsung Warrior,2020,6,Prakash Kapadia,writer,story
tt4430212,Drishyam,2015,9,Kumar Mangat Pathak,producer,producer
tt11027850,Hacked,2020,7,Rajkumar Janghare,writer,screenplay
tt8202612,Satyameva Jayate,2018,5,Milap Zaveri,director,\N
tt1806913,Hotchpotch Again,2017,6,Yunus Sajawal,writer,screenplay
tt4535650,Dilwale,2015,6,Yunus Sajawal,writer,screenplay
tt5456546,Twins 2,2017,6,Yunus Sajawal,writer,screenplay
tt7212726,Simmba,2017,8,Yunus Sajawal,writer,screenplay
tt8130968,Badla,2019,10,Akshai Puri,producer,co-producer
tt6826438,Parmanu: The Story of Pokhran,2018,10,Jeet Gannguli,composer,\N
tt3679000,Any Body Can Dance 2,2015,7,Mayur Puri,writer,dialogue
tt5970844,Thugs Of Hindostan,2018,10,Ritesh Soni,editor,\N
tt3405236,Raees,2017,5,Rahul Dholakia,director,\N
tt8562960,Shaheed Chandrashekhar Azaad,2020,4,Brownie Parasher,actor,\N
tt3678782,City of Revenge,2015,6,Massimo Carlotto,writer,story
tt3469244,Phantom,2015,5,Kabir Khan,director,\N
tt3863552,Bajrangi Bhaijaan,2015,5,Kabir Khan,director,\N
tt5882970,Tubelight,2017,5,Kabir Khan,director,\N
tt7431594,Race 3,2018,6,Shiraz Ahmed,writer,story and screenplay
tt8562960,Shaheed Chandrashekhar Azaad,2020,2,Arun Mathur,actor,\N
tt3771536,Shivaay,2016,10,Dharmendra Sharma,editor,film editor
tt8907986,Angrezi Medium,2020,5,Homi Adajania,director,\N
tt5477608,Kahaani 2,2016,5,Sujoy Ghosh,director,\N
tt8130968,Badla,2019,5,Sujoy Ghosh,director,\N
tt6826438,Parmanu: The Story of Pokhran,2018,2,Boman Irani,actor,\N
tt4979082,Jai Gangaajal,2016,5,Salim Merchant,composer,\N
tt5460276,Kaabil,2017,10,Salim Merchant,composer,\N
tt6580564,102 Not Out,2018,9,Salim Merchant,composer,\N
tt6791730,Tumhari Sulu,2017,3,Neha Dhupia,actress,\N
tt3469244,Phantom,2015,2,Katrina Kaif,actress,\N
tt4129428,Detective Jagga,2017,2,Katrina Kaif,actress,\N
tt5956100,Tiger Zinda Hai,2017,2,Katrina Kaif,actress,\N
tt5970844,Thugs Of Hindostan,2018,2,Katrina Kaif,actress,\N
tt6527426,Zero,2018,3,Katrina Kaif,actress,\N
tt7721800,Bharat,2019,2,Katrina Kaif,actress,\N
tt3735246,Bajirao Mastani,2015,3,Priyanka Chopra,actress,\N
tt4110568,Dil Dhadakne Do,2015,3,Priyanka Chopra,actress,\N
tt4979082,Jai Gangaajal,2016,1,Priyanka Chopra,actress,\N
tt4979082,Jai Gangaajal,2016,6,Sachin Krishn,cinematographer,\N
tt9691324,Sab Kushal Mangal,2020,8,Sachin Krishn,cinematographer,\N
tt3398048,Tevar,2015,9,Sunil Manchanda,producer,producer
tt2395469,Gully Boy,2019,7,Vijay Maurya,writer,Dialogue
tt6791730,Tumhari Sulu,2017,4,Vijay Maurya,actor,\N
tt5108476,Befikre,2016,9,Shekhar Ravjiani,composer,\N
tt5956100,Tiger Zinda Hai,2017,10,Shekhar Ravjiani,composer,\N
tt7255568,Student of the Year 2,2019,4,Aditya Seal,actor,\N
tt5997666,When Harry Met Sejal,2017,7,Hitesh Sonik,composer,\N
tt6588966,Hichki,2018,10,Hitesh Sonik,composer,\N
tt7027278,Kedarnath,2018,9,Hitesh Sonik,composer,\N
tt0315642,Wazir,2016,9,Shubhra Swarup,writer,screenplay
tt4640206,Sachin - A Billion Dreams,2017,6,Siva Ananth,writer,written by
tt3735246,Bajirao Mastani,2015,10,Sudeep Chatterjee,cinematographer,\N
tt6971752,Shubh Mangal Savdhan,2017,3,Seema Bhargava,actress,\N
tt11573410,Guns of Banaras,2020,7,Shaina Nath,producer,producer
tt6843812,Baaghi 2,2018,9,Jojo Khan,writer,screenplay
tt6903440,Manikarnika: The Queen of Jhansi,2019,4,Rimi Sen,actress,\N
tt5108476,Befikre,2016,4,Julie Ordon,actress,\N
tt4864932,Baaghi,2016,5,Sabir Khan,director,\N
tt6117702,Munna Michael,2017,5,Sabir Khan,director,\N
tt4559046,Housefull 3,2016,3,Riteish Deshmukh,actor,\N
tt7639372,Total Dhamaal,2019,4,Riteish Deshmukh,actor,\N
tt7721946,Housefull 4,2019,2,Riteish Deshmukh,actor,\N
tt8366590,Baaghi 3,2020,2,Riteish Deshmukh,actor,\N
tt5080556,2.0,2018,4,Adil Hussain,actor,\N
tt5156746,Force 2,2016,4,Adil Hussain,actor,\N
tt5460276,Kaabil,2017,6,Sanjay Masoomm,writer,dialogue
tt0315642,Wazir,2016,4,John Abraham,actor,\N
tt3159708,Welcome Back,2015,4,John Abraham,actor,\N
tt3679060,Kapow,2016,1,John Abraham,actor,\N
tt5156746,Force 2,2016,1,John Abraham,actor,\N
tt6826438,Parmanu: The Story of Pokhran,2018,1,John Abraham,actor,\N
tt8202612,Satyameva Jayate,2018,1,John Abraham,actor,\N
tt8869978,Batla House,2019,1,John Abraham,actor,\N
tt5956100,Tiger Zinda Hai,2017,6,Neelesh Misra,writer,story
tt6277440,Badrinath Ki Dulhania,2017,3,Sahil Vaid,actor,\N
tt3495026,Fan,2016,9,Vishal Dadlani,composer,\N
tt5108476,Befikre,2016,7,Vishal Dadlani,composer,\N
tt5956100,Tiger Zinda Hai,2017,8,Vishal Dadlani,composer,\N
tt7027278,Kedarnath,2018,4,Alka Amin,actress,\N
tt8647400,De De Pyaar De,2019,5,Akiv Ali,director,\N
tt4434004,Udta Punjab,2016,5,Abhishek Chaubey,director,\N
tt4430212,Drishyam,2015,2,Shriya Saran,actress,\N
tt4387040,Airlift,2016,5,Raja Menon,director,\N
tt4387040,Airlift,2016,8,Suresh Nair,writer,screenplay
tt5477608,Kahaani 2,2016,6,Suresh Nair,writer,story
tt10875678,Happy Hardy and Heer,2020,6,Sonia Kapoor,writer,\N
tt7700730,October,2018,3,Gitanjali Rao,actress,\N
tt10023024,Love Aaj Kal,2020,7,Pritam Chakraborty,composer,\N
tt3679060,Kapow,2016,9,Pritam Chakraborty,composer,\N
tt4535650,Dilwale,2015,10,Pritam Chakraborty,composer,\N
tt4559006,Ae Dil Hai Mushkil,2016,9,Pritam Chakraborty,composer,\N
tt5882970,Tubelight,2017,8,Pritam Chakraborty,composer,\N
tt9052870,Chhichhore,2019,9,Pritam Chakraborty,composer,\N
tt4640206,Sachin - A Billion Dreams,2017,1,Sachin Tendulkar,actor,\N
tt11743900,Cookie,2020,5,Lalit Marathe,director,\N
tt7721946,Housefull 4,2019,8,Sajid Khan,writer,screenplay
tt8108202,Stree,2018,7,Krishna D.K.,writer,written by
tt8108202,Stree,2018,6,Raj Nidimoru,writer,written by
tt7430722,War,2019,7,Shridhar Raghavan,writer,screenplay
tt4007558,Shaandaar,2015,1,Shahid Kapoor,actor,\N
tt4434004,Udta Punjab,2016,1,Shahid Kapoor,actor,\N
tt5935704,Padmaavat,2017,3,Shahid Kapoor,actor,\N
tt8983202,Kabir Singh,2019,1,Shahid Kapoor,actor,\N
tt3595298,Found a Treasure Called Love,2015,10,Sanjoy Chowdhury,composer,\N
tt3848892,Baby,2015,10,Sanjoy Chowdhury,composer,\N
tt4169250,M.S. Dhoni: The Untold Story,2016,10,Sanjoy Chowdhury,composer,\N
tt7431594,Race 3,2018,7,Kiran Kotrial,writer,dialogue
tt10023024,Love Aaj Kal,2020,9,Amit Roy,cinematographer,director of photography
tt3767372,Piku,2015,9,N.P. Singh,producer,producer
tt4832640,Sultan,2016,8,Artur Zurawski,cinematographer,director of photography
tt5982852,Jolly LLB 2,2017,5,Subhash Kapoor,director,\N
tt3595298,Found a Treasure Called Love,2015,7,Ajit Kumar Barjatya,producer,producer
tt3595298,Found a Treasure Called Love,2015,9,Rajkumar Barjatya,producer,producer
tt3859980,Mohenjo Daro,2016,10,C.K. Muraleedharan,cinematographer,director of photography
tt3678782,City of Revenge,2015,8,Pooja Ladha Surti,writer,screenplay and dialogue
tt8108198,Andhadhun,2018,9,Pooja Ladha Surti,writer,\N
tt4129428,Detective Jagga,2017,3,Saswata Chatterjee,actor,\N
tt4979082,Jai Gangaajal,2016,7,Santosh Mandal,editor,\N
tt4129428,Detective Jagga,2017,5,Anurag Basu,director,\N
tt7212726,Simmba,2017,3,Sonu Sood,actor,\N
tt5477608,Kahaani 2,2016,4,Kharaj Mukherjee,actor,\N
tt4906960,Baadshaho,2017,3,Emraan Hashmi,actor,\N
tt4906984,Azhar,2016,1,Emraan Hashmi,actor,\N
tt2424988,Gabbar is Back,2015,6,A.R. Murugadoss,writer,story
tt3678782,City of Revenge,2015,5,Sriram Raghavan,director,\N
tt8108198,Andhadhun,2018,5,Sriram Raghavan,director,\N
tt2631186,Baahubali: The Beginning,2015,5,S.S. Rajamouli,director,\N
tt4849438,Baahubali 2: The Conclusion,2017,5,S.S. Rajamouli,director,\N
tt6108090,Secret Superstar,2017,7,Kiran Rao,producer,producer
tt1806913,Hotchpotch Again,2017,5,Rohit Shetty,director,\N
tt4535650,Dilwale,2015,5,Rohit Shetty,director,\N
tt7212726,Simmba,2017,5,Rohit Shetty,director,\N
tt5690142,Mom,2017,4,Adnan Siddiqui,actor,\N
tt5842616,Veere Di Wedding,2018,5,Shashanka Ghosh,director,\N
tt7218518,Pad Man,2018,4,Jyoti Subhash,actress,\N
tt10309906,Shubh Mangal Zyada Saavdhan,2020,7,Divya Khosla Kumar,producer,producer
tt2976182,Roy,2015,8,Divya Khosla Kumar,producer,producer
tt5286444,Neerja,2016,8,Atul Kasbekar,producer,producer
tt6791730,Tumhari Sulu,2017,7,Atul Kasbekar,producer,producer
tt7721800,Bharat,2019,3,Sunil Grover,actor,\N
tt3679000,Any Body Can Dance 2,2015,6,Tushar Hiranandani,writer,\N
tt3679060,Kapow,2016,6,Tushar Hiranandani,writer,story and screenplay
tt5235880,A Flying Jatt,2016,6,Tushar Hiranandani,writer,screenplay
tt5474042,Half Girlfriend,2017,7,Tushar Hiranandani,writer,screenplay
tt5946128,Dear Zindagi,2016,3,Kunal Kapoor,actor,\N
tt6173990,GOLD,2018,3,Kunal Kapoor,actor,\N
tt3848892,Baby,2015,9,Vikram Malhotra,producer,producer
tt3469244,Phantom,2015,6,Hussain Zaidi,writer,story
tt7881550,Har Kisse Ke Hisse: Kaamyaab,2020,4,Isha Talwar,actress,\N
tt3148502,Spectacle,2015,9,Aarti Bajaj,editor,\N
tt5997666,When Harry Met Sejal,2017,9,Aarti Bajaj,editor,\N
tt3678782,City of Revenge,2015,2,Nawazuddin Siddiqui,actor,\N
tt3863552,Bajrangi Bhaijaan,2015,3,Nawazuddin Siddiqui,actor,\N
tt6117702,Munna Michael,2017,3,Nawazuddin Siddiqui,actor,\N
tt2424988,Gabbar is Back,2015,3,Shruti Haasan,actress,\N
tt6277440,Badrinath Ki Dulhania,2017,4,Swanand Kirkire,actor,\N
tt7218518,Pad Man,2018,6,Swanand Kirkire,writer,\N
tt6173990,GOLD,2018,10,Sachin Sanghvi,composer,\N
tt2976182,Roy,2015,3,Ranbir Kapoor,actor,\N
tt3148502,Spectacle,2015,2,Ranbir Kapoor,actor,\N
tt4129428,Detective Jagga,2017,1,Ranbir Kapoor,actor,\N
tt4559006,Ae Dil Hai Mushkil,2016,1,Ranbir Kapoor,actor,\N
tt6452574,Sanju,2017,1,Ranbir Kapoor,actor,\N
tt3802576,Brothers,2015,5,Karan Malhotra,director,\N
tt7639372,Total Dhamaal,2019,7,Ved Prakash,writer,\N
tt7255568,Student of the Year 2,2019,8,Arshad Sayed,writer,\N
tt2631186,Baahubali: The Beginning,2015,1,Prabhas,actor,\N
tt4849438,Baahubali 2: The Conclusion,2017,1,Prabhas,actor,\N
tt6836936,Saaho,2019,1,Prabhas,actor,\N
tt1806913,Hotchpotch Again,2017,4,Shreyas Talpade,actor,\N
tt10023024,Love Aaj Kal,2020,5,Imtiaz Ali,director,\N
tt3148502,Spectacle,2015,5,Imtiaz Ali,director,\N
tt5997666,When Harry Met Sejal,2017,5,Imtiaz Ali,director,\N
tt7700730,October,2018,7,Sheel Kumar,producer,producer
tt7059844,Dabangg 3,2019,2,Sudeep,actor,\N
tt6903440,Manikarnika: The Queen of Jhansi,2019,2,Jishu Sengupta,actor,\N
tt5970844,Thugs Of Hindostan,2018,5,Vijay Krishna Acharya,director,\N
tt4832640,Sultan,2016,9,Rameshwar S. Bhagat,editor,\N
tt4430212,Drishyam,2015,5,Nishikant Kamat,director,\N
tt3802576,Brothers,2015,8,Ekta Pathak Malhotra,writer,adapted screenplay
tt4430136,Pyaar Ka Punchnama 2,2015,10,Sandeep Shirodkar,composer,\N
tt4906984,Azhar,2016,10,Sandeep Shirodkar,composer,\N
tt8108274,Tanhaji: The Unsung Warrior,2020,10,Sandeep Shirodkar,composer,\N
tt7721800,Bharat,2019,6,Su-jin Park,writer,original screenplay
tt5477608,Kahaani 2,2016,9,Jayantilal Gada,producer,producer
tt3595298,Found a Treasure Called Love,2015,3,Neil Nitin Mukesh,actor,\N
tt6836936,Saaho,2019,4,Neil Nitin Mukesh,actor,\N
tt2140465,Tanu Weds Manu Returns,2015,4,Deepak Dobriyal,actor,\N
tt3595298,Found a Treasure Called Love,2015,4,Deepak Dobriyal,actor,\N
tt5764096,Hindi Medium,2017,4,Deepak Dobriyal,actor,\N
tt7881550,Har Kisse Ke Hisse: Kaamyaab,2020,2,Deepak Dobriyal,actor,\N
tt8907986,Angrezi Medium,2020,4,Deepak Dobriyal,actor,\N
tt5477608,Kahaani 2,2016,1,Vidya Balan,actress,\N
tt6791730,Tumhari Sulu,2017,1,Vidya Balan,actress,\N
tt9248972,Mission Mangal,2019,2,Vidya Balan,actress,\N
tt2424988,Gabbar is Back,2015,7,Rajat Arora,writer,additional screenplay
tt4906960,Baadshaho,2017,6,Rajat Arora,writer,story
tt4906984,Azhar,2016,6,Rajat Arora,writer,\N
tt10023024,Love Aaj Kal,2020,6,Dinesh Vijan,producer,producer
tt3678782,City of Revenge,2015,10,Dinesh Vijan,producer,producer
tt8108202,Stree,2018,10,Dinesh Vijan,producer,producer
tt8908002,Luka Chuppi,2019,7,Dinesh Vijan,producer,producer
tt9420648,Bala,2019,10,Dinesh Vijan,producer,producer
tt4832640,Sultan,2016,5,Ali Abbas Zafar,director,\N
tt5956100,Tiger Zinda Hai,2017,5,Ali Abbas Zafar,director,\N
tt7721800,Bharat,2019,5,Ali Abbas Zafar,director,\N
tt6712014,Fukrey Returns,2017,5,Mrighdeep Lamba,director,\N
tt7098658,Raazi,2018,7,Bhavani Iyer,writer,screenplay
tt3398048,Tevar,2015,1,Arjun Kapoor,actor,\N
tt4744086,Her & Him,2016,4,Arjun Kapoor,actor,\N
tt6272828,Mubarakan,2017,2,Arjun Kapoor,actor,\N
tt4864932,Baaghi,2016,8,Sanjeev Dutta,writer,Writer
tt7485048,Super 30,2019,6,Sanjeev Dutta,writer,\N
tt11027850,Hacked,2020,3,Sid Makkar,actor,\N
tt3495026,Fan,2016,5,Maneesh Sharma,director,\N
tt6588966,Hichki,2018,9,Maneesh Sharma,producer,producer
tt7147540,Made in India,2018,7,Maneesh Sharma,producer,producer
tt8647400,De De Pyaar De,2019,6,Surabhi Bhatnagar,writer,\N
tt3679000,Any Body Can Dance 2,2015,10,Manan Sagar,editor,\N
tt4434004,Udta Punjab,2016,8,Aman Gill,producer,producer
tt5235880,A Flying Jatt,2016,9,Aman Gill,producer,producer
tt3848892,Baby,2015,6,Shital Bhatia,producer,producer
tt5165344,Rustom,2016,9,Shital Bhatia,producer,producer
tt5785170,Toilet: A Love Story,2017,9,Shital Bhatia,producer,producer
tt6170954,Naam Shabana,2017,9,Shital Bhatia,producer,producer
tt7639372,Total Dhamaal,2019,6,Paritosh Painter,writer,\N
tt9248952,Jawaani Jaaneman,2020,9,Daniel Cúparo,writer,original script
tt5474042,Half Girlfriend,2017,5,Mohit Suri,director,\N
tt9877170,Malang,2020,5,Mohit Suri,director,\N
tt2140465,Tanu Weds Manu Returns,2015,10,Chirantan Das,cinematographer,\N
tt7430722,War,2019,5,Siddharth Anand,director,\N
tt5946128,Dear Zindagi,2016,5,Gauri Shinde,director,\N
tt4387040,Airlift,2016,2,Nimrat Kaur,actress,\N
tt7639372,Total Dhamaal,2019,9,Anand Pandit,producer,producer
tt8108198,Andhadhun,2018,10,Olivier Treiner,writer,based on the story by
tt4387040,Airlift,2016,7,Ritesh Shah,writer,screenplay
tt5477608,Kahaani 2,2016,7,Ritesh Shah,writer,dialogue
tt5571734,Pink,2016,7,Ritesh Shah,writer,story
tt7363076,Raid,2018,6,Ritesh Shah,writer,\N
tt8869978,Batla House,2019,6,Ritesh Shah,writer,\N
tt3771536,Shivaay,2016,8,Mithun Sharma,composer,\N
tt4302956,Kis Kisko Pyaar Karoon,2015,10,Dheeraj Sarna,writer,screenplay and dialogue
tt3696192,Singh Is Bliing,2015,4,Kay Kay Menon,actor,\N
tt5235880,A Flying Jatt,2016,4,Kay Kay Menon,actor,\N
tt4865436,Hate Story 3,2015,5,Vishal Pandya,director,\N
tt4849438,Baahubali 2: The Conclusion,2017,4,Tamannaah Bhatia,actress,\N
tt4979082,Jai Gangaajal,2016,3,Manav Kaul,actor,\N
tt6791730,Tumhari Sulu,2017,2,Manav Kaul,actor,\N
tt3495026,Fan,2016,6,Habib Faisal,writer,screenplay
tt4302956,Kis Kisko Pyaar Karoon,2015,3,Manjari Fadnnis,actress,\N
tt5956100,Tiger Zinda Hai,2017,3,Angad Bedi,actor,\N
tt4430136,Pyaar Ka Punchnama 2,2015,9,Clinton Cerejo,composer,\N
tt3767372,Piku,2015,5,Shoojit Sircar,director,\N
tt5571734,Pink,2016,6,Shoojit Sircar,writer,story
tt7700730,October,2018,5,Shoojit Sircar,director,\N
tt9052870,Chhichhore,2019,10,Sameeruddin,composer,\N
tt4849438,Baahubali 2: The Conclusion,2017,3,Anushka Shetty,actress,\N
tt5286444,Neerja,2016,7,Sanyuktha Chawla Shaikh,writer,dialogue
tt6826438,Parmanu: The Story of Pokhran,2018,7,Sanyuktha Chawla Shaikh,writer,\N
tt10463030,Bhoot: Part One - The Haunted Ship,2020,3,Meher Vij,actress,\N
tt6108090,Secret Superstar,2017,2,Meher Vij,actress,\N
tt7638344,Dhadak,2018,2,Ishaan Khattar,actor,\N
tt5235880,A Flying Jatt,2016,7,Aakash Kaushik,writer,dialogue
tt7431594,Race 3,2018,8,Ali Jacko,writer,I Found Love
tt6988116,Kalank,2019,6,Shibani Bathija,writer,story
tt7212726,Simmba,2017,7,Vakkantham Vamsi,writer,original story
tt4430212,Drishyam,2015,10,Sarita Patil,producer,producer
tt6843812,Baaghi 2,2018,8,Abbas Hirapurwala,writer,screenplay
tt4007558,Shaandaar,2015,7,Anvita Dutt,writer,screenplay and dialogue
tt3595298,Found a Treasure Called Love,2015,6,Aash Karan Atal,writer,dialogue
tt10463030,Bhoot: Part One - The Haunted Ship,2020,9,Apoorva Mehta,producer,producer
tt4559006,Ae Dil Hai Mushkil,2016,8,Apoorva Mehta,producer,producer
tt4900716,Kapoor & Sons,2016,10,Apoorva Mehta,producer,producer
tt5946128,Dear Zindagi,2016,9,Apoorva Mehta,producer,producer
tt6264938,Kesari,2019,9,Apoorva Mehta,producer,producer
tt6277440,Badrinath Ki Dulhania,2017,8,Apoorva Mehta,producer,producer
tt6988116,Kalank,2019,10,Apoorva Mehta,producer,producer
tt7255568,Student of the Year 2,2019,10,Apoorva Mehta,producer,producer
tt7638344,Dhadak,2018,9,Apoorva Mehta,producer,producer
tt3595298,Found a Treasure Called Love,2015,2,Sonam Kapoor,actress,\N
tt5286444,Neerja,2016,1,Sonam Kapoor,actress,\N
tt5842616,Veere Di Wedding,2018,2,Sonam Kapoor,actress,\N
tt7218518,Pad Man,2018,3,Sonam Kapoor,actress,\N
tt4007558,Shaandaar,2015,5,Vikas Bahl,director,\N
tt4434004,Udta Punjab,2016,7,Vikas Bahl,producer,producer
tt7485048,Super 30,2019,5,Vikas Bahl,director,\N
tt3148502,Spectacle,2015,1,Deepika Padukone,actress,\N
tt3735246,Bajirao Mastani,2015,2,Deepika Padukone,actress,\N
tt3767372,Piku,2015,1,Deepika Padukone,actress,\N
tt5935704,Padmaavat,2017,1,Deepika Padukone,actress,\N
tt9614460,Chhapaak,2020,1,Deepika Padukone,actress,\N
tt2140465,Tanu Weds Manu Returns,2015,1,Kangana Ranaut,actress,\N
tt6903440,Manikarnika: The Queen of Jhansi,2019,1,Kangana Ranaut,actress,\N
tt8983166,Panga,2020,1,Kangana Ranaut,actress,\N
tt9691324,Sab Kushal Mangal,2020,9,Prashant Singh Rathore,editor,\N
tt6272828,Mubarakan,2017,7,Rajesh Chawla,writer,dialogue
tt4430136,Pyaar Ka Punchnama 2,2015,3,Sunny Singh Nijjar,actor,\N
tt7581902,Sonu Ke Titu Ki Sweety,2018,3,Sunny Singh Nijjar,actor,\N
tt9817760,Jai Mummy Di,2020,3,Sunny Singh Nijjar,actor,\N
tt4640206,Sachin - A Billion Dreams,2017,7,Sandeep Srivastava,writer,hindi dialogue
tt4865436,Hate Story 3,2015,4,Daisy Shah,actress,\N
tt5785170,Toilet: A Love Story,2017,4,Ayesha Raza,actress,\N
tt6117702,Munna Michael,2017,8,Vikram Rajani,producer,producer
tt9691324,Sab Kushal Mangal,2020,6,Brijendra Kala,writer,\N
tt6170954,Naam Shabana,2017,5,Shivam Nair,director,\N
tt5571734,Pink,2016,9,Rashmi Sharma,producer,producer
tt1806913,Hotchpotch Again,2017,7,Farhad Samji,writer,dialogue
tt4535650,Dilwale,2015,7,Farhad Samji,writer,dialogue
tt4559046,Housefull 3,2016,6,Farhad Samji,director,\N
tt5456546,Twins 2,2017,7,Farhad Samji,writer,dialogue
tt7212726,Simmba,2017,10,Farhad Samji,writer,dialogue
tt7721946,Housefull 4,2019,5,Farhad Samji,director,\N
tt8366590,Baaghi 3,2020,9,Farhad Samji,writer,writer
tt9648672,Street Dancer 3D,2020,6,Farhad Samji,writer,\N
tt8907986,Angrezi Medium,2020,6,Bhavesh Mandalia,writer,\N
tt4906984,Azhar,2016,3,Prachi Desai,actress,\N
tt3398048,Tevar,2015,5,Amit Ravindernath Sharma,director,\N
tt7725596,Badhaai Ho,2018,5,Amit Ravindernath Sharma,director,\N
tt2631186,Baahubali: The Beginning,2015,2,Rana Daggubati,actor,\N
tt3848892,Baby,2015,3,Rana Daggubati,actor,\N
tt4849438,Baahubali 2: The Conclusion,2017,2,Rana Daggubati,actor,\N
