tconst,title,year,ordering,Actor,Character Played
tt2424988,Gabbar is Back,2015,2,Kareena Kapoor,"[""Sunaina""]
"
tt2424988,Gabbar is Back,2015,1,Akshay Kumar,"[""Aditya (Gabbar)""]
"
tt2424988,Gabbar is Back,2015,3,Shruti Haasan,"[""Shruti""]
"
tt2424988,Gabbar is Back,2015,4,Shruti Bapna,"[""Lakshmi""]
"
tt2631186,Baahubali: The Beginning,2015,3,Ramya Krishnan,"[""Shivagami""]
"
tt2631186,Baahubali: The Beginning,2015,4,Sathyaraj,"[""Kattappa""]
"
tt2631186,Baahubali: The Beginning,2015,1,Prabhas,"[""Shivudu"""
tt2631186,Baahubali: The Beginning,2015,2,Rana Daggubati,"[""Bhallaladeva""]
"
tt2976182,Roy,2015,4,Barun Chanda,"[""Roy's Boss""]
"
tt2976182,Roy,2015,1,Arjun Rampal,"[""Kabir Grewal""]
"
tt2976182,Roy,2015,3,Ranbir Kapoor,"[""Roy""]
"
tt2976182,Roy,2015,2,Jacqueline Fernandez,"[""Ayesha"""
tt3148502,Spectacle,2015,3,Piyush Mishra,"[""Storyteller""]
"
tt3148502,Spectacle,2015,2,Ranbir Kapoor,"[""Ved Vardhan Sahni""]
"
tt3148502,Spectacle,2015,1,Deepika Padukone,"[""Tara Maheshwari""]
"
tt3148502,Spectacle,2015,4,Naila Grewal,"[""Clown & Fangirl""]
"
tt3159708,Welcome Back,2015,2,Nana Patekar,"[""Uday Shankar Shetty""]
"
tt3159708,Welcome Back,2015,3,Dimple Kapadia,"[""Poonam"""
tt3159708,Welcome Back,2015,1,Anil Kapoor,"[""Sagar 'Majnu' Pandey""]
"
tt3159708,Welcome Back,2015,4,John Abraham,"[""Ajju Bhai"""
tt3398048,Tevar,2015,3,Manoj Bajpayee,"[""Gajendar Singh""]
"
tt3398048,Tevar,2015,4,Deepti Naval,"[""Pintoo's Mother""]
"
tt3398048,Tevar,2015,1,Arjun Kapoor,"[""Pintoo Shukla""]
"
tt3398048,Tevar,2015,2,Sonakshi Sinha,"[""Radhika Mishra""]
"
tt3405236,Raees,2017,1,Raj Arjun,"[""Ilyas""]
"
tt3405236,Raees,2017,3,Shubham Tukaram,"[""Young Sadiq""]
"
tt3405236,Raees,2017,2,Shubham Chintamani,"[""Young Raees""]
"
tt3405236,Raees,2017,4,Yug,"[""Young Taufiq""]
"
tt3469244,Phantom,2015,3,Sabyasachi Chakrabarty,"[""R.A.W. Chief Roy""]
"
tt3469244,Phantom,2015,1,Saif Ali Khan,"[""Daniyal Khan""]
"
tt3469244,Phantom,2015,2,Katrina Kaif,"[""Nawaz Mistry""]
"
tt3469244,Phantom,2015,4,Rajesh Tailang,"[""Raw Agent Alok""]
"
tt3495026,Fan,2016,1,Shah Rukh Khan,"[""Gaurav Chandna"""
tt3495026,Fan,2016,2,Carolina Main,"[""Cathy""]
"
tt3495026,Fan,2016,3,Sayani Gupta,"[""Aryan Khanna's Legal Advisor""]
"
tt3495026,Fan,2016,4,Shriya Pilgaonkar,"[""Neha""]
"
tt3595298,Found a Treasure Called Love,2015,1,Salman Khan,"[""Prem Dilwale"""
tt3595298,Found a Treasure Called Love,2015,3,Neil Nitin Mukesh,"[""Yuvraj Ajay Singh""]
"
tt3595298,Found a Treasure Called Love,2015,4,Deepak Dobriyal,"[""Kanhaiya""]
"
tt3595298,Found a Treasure Called Love,2015,2,Sonam Kapoor,"[""Maithili""]
"
tt3678782,City of Revenge,2015,2,Nawazuddin Siddiqui,"[""Liak Tungekar""]
"
tt3678782,City of Revenge,2015,1,Varun Dhawan,"[""Raghav""]
"
tt3678782,City of Revenge,2015,3,Yami Gautam,"[""Misha""]
"
tt3678782,City of Revenge,2015,4,Huma Qureshi,"[""Jhimli""]
"
tt3679000,Any Body Can Dance 2,2015,1,Prabhu Deva,"[""Vishnu""]
"
